name,price,openingStock
Advance,25.0,72
King,25.0,194
Filter,13.0,227
Wills,11.0,85
Silk,20.0,43
Berkily-Total,8.0,42
Connect,23.0,26
Players,4.0,59
Club,20.0,182
Liberty,7.0,91
Chuttalu,3.0,39
Wave,10.0,51
Beedi,1.0,382
Pass-Pass,1.0,186
Shampoo,2.0,60
Crane,2.0,90
Crane,10.0,16
Crane,5.0,15
Matchbox,1.0,96
Vicks,2.0,2
Center Fresh,1.0,210
Poppins,3.0,3
5 Star,5.0,4
Sastribalm,5.0,21
Comb - Toungecleaner,5.0,19
Brush,30.0,3
Brush,20.0,2
Sleepwell,15.0,3
Jet,4.0,13
Soap,5.0,18
Eno - Paste,10.0,48
Fevikwik,5.0,32
Kerchief,20.0,24
E-cap,20.0,0
Lighter,25.0,30
Lighter,13.0,28
Glass,2.0,247
Pickels,5.0,19
RMD,15.0,45
RMD,8.0,58
Boost,5.0,27
Mixture,18.0,54
Goodday,5.0,33
Goodday,10.0,94
Dairy,10.0,7
Mari gold,22.0,56
Dairy/Good day,30.0,67
Lays,20.0,25
Cake,30.0,24
Milk,15.0,5
Good day,25.0,32
Good day,40.0,23
Bourbon,20.0,20
Good day,20.0,15
Dark fantasy,35,21
Dark fantasy,50,17
Kinder Joy,45,1
Kinder Joy,25,3
Dairy Milk,225,3
Dairy Milk,43,4
Dairy Milk,56,2
Dairy Milk,53,3
Dairy Milk,105,1
Dairy Milk,130,3
Snickers,53,2
Lays,5.0,286
Lays,10.0,17
Lays,30.0,12
Lays,50.0,5
Plate,5.0,54
Pens,5.0,23
Pens,10.0,4
Hans,25.0,19
Vimal,6.5,141
Vimal,19,2
Chaini Kaini,27,10
Jora bull,25,2
Miraj,25,0
Mukkupodi,7,49
Madhu,25,11
Coollip,30.0,18
Vithanalu,9.0,6
Swagath,25.0,9
Unibic,54.0,1
Maaza,40.0,2
Water Bottle,35.0,8
Water Bottle,20.0,228
Water Bottle,10.0,263
Water Packets,2.0,267
Thumsup,23.0,405
Pulpy Orange,28.0,80
Pulpy Orange,43.0,199
Pulpy Orange,75.0,2
Tetra,18.0,0
Thumsup,105.0,13
Pulpy Orange,95.0,1
Fizz,65.0,1
Fizz,80.0,3
Soda,14.0,11
Soda,24.0,36
Tetra,13.0,117
M-Soda,18.0,25
Fizz,23.0,25
Mask,9.0,32
Pulpy Orange,38.0,0
Badam milk,30.0,23
Badam milk,35.0,13
Fizz,43.0,4
Curd,12.0,9
Masala,10.0,0
Butter Milk,8.0,29
Co-Co,40.0,3
ORSL,40.0,39
Co-Co,60.0,1
Red bull,125.0,6
Pulpy Orange,53.0,1
Tins,43.0,8
Huggies,18.0,0
Huggies,22.0,2
Huggies,26.0,1
Huggies,32.0,0
Huggies,37.0,4
Huggies,50.0,2
Play cards,37.0,4
Monster,125.0,6
Kinley,20.0,12
Kinley,5.0,0
Predator,60.0,5
Sanchulu,45.0,8
Fizz,95.0,0
